City,State,Old_Bucket,City_Bucket,Final_Population,Instances
KOLLAM,KERALA,Tier 3,Tier 2,349033,1018
BARDHMAN,WEST BENGAL,Tier 1,Tier 3,347016,27
BURDWAN,WEST BENGAL,Tier 6,Tier 4,346639,2440
CUDDAPPAH,ANDHRA PRADESH,Tier 3,Tier 3,345000,80
CUDDAPAH,ANDHRA PRADESH,Tier 6,Tier 4,345000,1120
AVADI,TAMIL NADU,Tier 5,Tier 4,344701,13
DADRA NAGAR HAVELI,GUJARAT,Tier 5,Tier 4,344000,254
DADRA AND NAGAR HAVELI,DADRA & NAGAR HAVELI,Tier 5,Tier 4,343709,287
KADAPA,ANDHRA PRADESH,Tier 5,Tier 4,343054,157
RAJAHMUNDRY,ANDHRA PRADESH,Tier 5,Tier 2,341831,1490
AVINASHI,TAMIL NADU,Tier 6,Tier 4,337923,39
AVANASHI,TAMIL NADU,Tier 6,Tier 4,337923,9
SAMBALPUR,ORISSA,Tier 4,Tier 4,335761,1934
KANGPOKPI,MANIPUR,Tier 6,Tier 4,334000,4
BILASPUR B,#N/A,Tier 5,Tier 3,331030,1220
BILASPUR,HARYANA,Tier 3,Tier 3,330106,1264
SATARA,MAHARASHTRA,Tier 3,Tier 3,326789,2624
BIJAPUR,CHANDIGARH,Tier 3,Tier 2,326360,569
RAMPUR,HIMACHAL PRADESH,Tier 3,Tier 3,325248,307
SHIMOGA,KARNATAKA,Tier 3,Tier 3,322428,1237
CHANDRAPUR,ASSAM,Tier 3,Tier 3,321036,3721
JUNAGADH,GUJARAT,Tier 3,Tier 3,320250,4760
SAMBA,JAMMU & KASHMIR,Tier 6,Tier 4,318611,260
EAST GARO HILLS,MEGHALAYA,Tier 5,Tier 4,317618,37
TRICHUR,KERALA,Tier 6,Tier 4,315957,131
THRISSUR,KERALA,Tier 3,Tier 2,315596,665
ALWAR,RAJASTHAN,Tier 3,Tier 3,315310,1373
REASI,JAMMU & KASHMIR,Tier 6,Tier 4,314714,147
NIZAMABAD,TELANGANA,Tier 3,Tier 3,310467,1119
PARBHANI,MAHARASHTRA,Tier 4,Tier 4,307191,832
TUMKUR,KARNATAKA,Tier 3,Tier 3,305821,2633
KHAMMAM,TELANGANA,Tier 3,Tier 3,305000,1253
HISAR,HARYANA,Tier 3,Tier 3,301249,3053
DODABALLAPUR,KARNATAKA,Tier 6,Tier 4,300000,7
UNAKOTI,TRIPURA,Tier 6,Tier 4,298574,1
GANDERBAL,JAMMU & KASHMIR,Tier 6,Tier 4,297003,180
BIHAR SHARIF,BIHAR,Tier 5,Tier 4,296889,105
PANIPAT,HARYANA,Tier 4,Tier 4,294150,2715
DARBHANGA,BIHAR,Tier 2,Tier 3,294116,3448
AIZAWL,MIZORAM,Tier 5,Tier 4,291822,875
DEWAS,MADHYA PRADESH,Tier 4,Tier 4,289438,887
ICHALKARANJI,MAHARASHTRA,Tier 5,Tier 4,287570,11
TIRUPATI,ANDHRA PRADESH,Tier 5,Tier 2,287482,4478
KARNAL,HARYANA,Tier 4,Tier 4,286974,2338
BATHINDA,PUNJAB,Tier 4,Tier 4,285813,1440
BHATINDA,PUNJAB,Tier 6,Tier 4,285788,506
JALNA,MAHARASHTRA,Tier 3,Tier 3,285349,796
BARASAT,WEST BENGAL,Tier 5,Tier 4,283443,2372
RAMBAN,JAMMU & KASHMIR,Tier 6,Tier 4,283313,53
PURNIA,BIHAR,Tier 3,Tier 3,282248,2310
EAST SIKKIM,SIKKIM,Tier 6,Tier 4,281293,10
BAHADURPURA,#N/A,Tier 6,Tier 4,280258,36
SATNA,MADHYA PRADESH,Tier 3,Tier 3,280248,2425
MAUNATH BHANJAN,UTTAR PRADESH,Tier 6,Tier 4,278745,69
SONIPAT,HARYANA,Tier 4,Tier 4,277053,2948
FARRUKHABAD-CUM-FATEHGARH,UTTAR PRADESH,Tier 6,Tier 4,276581,231
FARUKHABAD,UTTAR PRADESH,Tier 6,Tier 4,276581,160
CHURACHANDPUR,MANIPUR,Tier 5,Tier 4,271274,7
JAINTIA HILLS,MEGHALAYA,Tier 5,Tier 4,270000,153
KHAIRATABAD,TELANGANA,Tier 6,Tier 4,268679,2328
DURG,CHHATTISGARH,Tier 3,Tier 3,268679,879
SHOPIAN,JAMMU & KASHMIR,Tier 6,Tier 4,265960,277
IMPHAL,MANIPUR,Tier 5,Tier 4,264986,362
RATLAM,MADHYA PRADESH,Tier 4,Tier 4,264810,1138
HAPUR,UTTAR PRADESH,Tier 5,Tier 4,262801,651
ANANTAPUR,ANDHRA PRADESH,Tier 2,Tier 2,261004,2276
KARIMNAGAR,TELANGANA,Tier 2,Tier 2,260899,1720
MON,NAGALAND,Tier 5,Tier 4,259604,8
RIBHOI,MEGHALAYA,Tier 6,Tier 4,259000,43
ETAWAH,UTTAR PRADESH,Tier 4,Tier 4,256838,583
BHARATPUR,RAJASTHAN,Tier 3,Tier 3,252109,495
BEGUSARAI,BIHAR,Tier 3,Tier 3,251136,1403
NEW DELHI,DELHI,Tier 5,Tier 1,249998,238700
DELHI MUNICIPAL CORPORATION -U,DELHI,Tier 1,Tier 1,249998,4282
NEW DELHI MUNICIPAL COUNCIL,DELHI,Tier 6,Tier 1,249998,5283
SRIGANGANAGAR,RAJASTHAN,Tier 6,Tier 4,249914,543
SHRIGANGANAGAR,RAJASTHAN,Tier 6,Tier 4,249914,80
SUKMA,#N/A,Tier 6,Tier 4,249000,1
GANDHIDHAM,GUJARAT,Tier 5,Tier 4,248705,486
PONDICHERRY,PONDICHERRY,Tier 4,Tier 2,241773,3686
BISHNUPUR,WEST BENGAL,Tier 5,Tier 4,240363,58
TUTICORIN,TAMIL NADU,Tier 6,Tier 4,237830,374
THOOTHUKKUDI,TAMIL NADU,Tier 6,Tier 4,237830,82
SIKAR,RAJASTHAN,Tier 3,Tier 3,237579,1926
REWA,MADHYA PRADESH,Tier 3,Tier 3,235422,2232
MIRZAPUR,UTTAR PRADESH,Tier 3,Tier 3,233691,533
CANNANORE,KERALA,Tier 6,Tier 4,233000,6
RAICHUR,KARNATAKA,Tier 3,Tier 3,232456,410
KISHTWAR,JAMMU & KASHMIR,Tier 6,Tier 4,230696,51
PALI,CHHATTISGARH,Tier 3,Tier 3,229956,726
RAMAGUNDAM,ANDHRA PRADESH,Tier 5,Tier 4,229644,108
SILCHAR,WEST BENGAL,Tier 5,Tier 4,229136,99
HARIDWAR,UTTARAKHAND,Tier 5,Tier 4,228832,6364
VIZIANAGARAM,ANDHRA PRADESH,Tier 3,Tier 3,228025,805
THE DANGS,GUJARAT,Tier 5,Tier 4,228000,68
SINGROLI,MADHYA PRADESH,Tier 6,Tier 4,227000,35
DANG,GUJARAT,Tier 6,Tier 4,226769,61
TENALI,ANDHRA PRADESH,Tier 5,Tier 4,225982,223
NAGERCOIL,TAMIL NADU,Tier 5,Tier 4,224849,802
GANGANAGAR,RAJASTHAN,Tier 3,Tier 3,224532,46
TANJORE,TAMIL NADU,Tier 6,Tier 4,222943,33
THANJAVUR,TAMIL NADU,Tier 3,Tier 3,222943,442
BULANDSHAHR,UTTAR PRADESH,Tier 5,Tier 4,222519,1717
KATNI,MADHYA PRADESH,Tier 4,Tier 4,221883,878
SAMBHAL,UTTAR PRADESH,Tier 5,Tier 4,220813,153
SINGRAULI,MADHYA PRADESH,Tier 5,Tier 4,220257,260
NADIAD,GUJARAT,Tier 5,Tier 4,218095,2893
SECUNDERABAD,TELANGANA,Tier 5,Tier 4,217910,4150
YAMUNANAGAR,HARYANA,Tier 4,Tier 4,216677,1564
BALLABGARH,HARYANA,Tier 6,Tier 4,214894,10112
PANCHKULA URBAN ESTATE,HARYANA,Tier 6,Tier 4,214894,115
BIDAR,KARNATAKA,Tier 3,Tier 3,214373,198
SECUNDARABAD,ANDHRA PRADESH,Tier 6,Tier 4,214000,172
DIMA HASAO,ASSAM,Tier 6,Tier 4,214000,19
NORTH CACHAR HILLS,ASSAM,Tier 5,Tier 4,214000,#N/A
MUNGER,BIHAR,Tier 4,Tier 4,213303,168
PANCHKULA,HARYANA,Tier 5,Tier 4,211355,2811
BURHANPUR,UTTAR PRADESH,Tier 5,Tier 4,210886,80
KHARAGPUR,BIHAR,Tier 5,Tier 4,207604,167
SRIRUNGAM,TAMIL NADU,Tier 6,Tier 4,207494,67
DINDIGUL,TAMIL NADU,Tier 3,Tier 3,207327,362
GANDHINAGAR,GUJARAT,Tier 4,Tier 4,206167,15636
HOSPET,KARNATAKA,Tier 5,Tier 4,206167,1074
ONGOLE,ANDHRA PRADESH,Tier 5,Tier 4,204746,398
ELURU,ANDHRA PRADESH,Tier 5,Tier 4,203780,738
DEOGHAR,JHARKHAND,Tier 5,Tier 4,203123,810
CHAPRA,BIHAR,Tier 5,Tier 4,202352,341
HALDIA,WEST BENGAL,Tier 5,Tier 4,200827,27
KHANDWA,MADHYA PRADESH,Tier 5,Tier 4,200738,265
SALT LAKE,UNITED STATES OF AMERICA,Tier 6,Tier 4,200567,246
NANDYAL,ANDHRA PRADESH,Tier 5,Tier 4,200516,477
MORENA,MADHYA PRADESH,Tier 3,Tier 3,200482,138
KARIKAL,TAMIL NADU,Tier 6,Tier 4,200222,7
GULAH,#N/A,Tier 6,Tier 4,200000,19
AMROHA,UTTAR PRADESH,Tier 5,Tier 4,198471,298
ANAND,GUJARAT,Tier 3,Tier 3,198282,6377
BHIND,MADHYA PRADESH,Tier 4,Tier 4,197585,142
BEMETARA,CHHATTISGARH,Tier 6,Tier 4,197035,13
BHIWANI,HARYANA,Tier 4,Tier 4,196057,2072
BAHARAMPUR,WEST BENGAL,Tier 6,Tier 4,195223,13
BERHAMPORE,WEST BENGAL,Tier 5,Tier 4,195223,34
AMBALA A,HARYANA,Tier 5,Tier 4,195153,831
AMBALA CITY,HARYANA,Tier 5,Tier 4,195153,1603
AMBALA CANTT AC,HARYANA,Tier 5,Tier 4,195153,340
AMBALA-1,HARYANA,Tier 5,Tier 4,195153,1409
MORBI,GUJARAT,Tier 5,Tier 4,194947,3066
FATEHPUR,HIMACHAL PRADESH,Tier 3,Tier 3,193193,721
KUTTANAD,#N/A,Tier 6,Tier 4,193007,4
RAEBARELI,#N/A,Tier 5,Tier 4,191316,676
RAI BARELI,UTTAR PRADESH,Tier 6,Tier 4,191000,462
BHUSAWAL,MAHARASHTRA,Tier 5,Tier 4,187421,10
ORAI,UTTAR PRADESH,Tier 5,Tier 4,187137,65
BAHRAICH,UTTAR PRADESH,Tier 3,Tier 3,186223,654
BAHARAICH,UTTAR PRADESH,Tier 5,Tier 4,186000,12
VELLORE,TAMIL NADU,Tier 2,Tier 2,185803,2046
RAIGARH R,CHHATTISGARH,Tier 6,Tier 4,185000,389
KAMPUR TOWN,ASSAM,Tier 6,Tier 4,185000,40
MEHSANA,GUJARAT,Tier 5,Tier 4,184991,12024
MAHESANA,GUJARAT,Tier 3,Tier 3,184991,2154
RAIGANJ,WEST BENGAL,Tier 5,Tier 4,183612,262
RAIGUNJ,WEST BENGAL,Tier 6,Tier 4,183612,17
UKHRUL,MANIPUR,Tier 5,Tier 4,183115,1
SIRSA,HARYANA,Tier 4,Tier 4,182534,896
GUNA,MADHYA PRADESH,Tier 3,Tier 3,180935,407
JAUNPUR,UTTAR PRADESH,Tier 2,Tier 2,180362,2047
PANVEL,MAHARASHTRA,Tier 5,Tier 4,180020,11673
SHIVPURI,MADHYA PRADESH,Tier 4,Tier 4,179977,212
UNNAO,UTTAR PRADESH,Tier 3,Tier 3,177658,904
CHINSURAH,WEST BENGAL,Tier 5,Tier 4,177259,36
SITAPUR,UTTAR PRADESH,Tier 2,Tier 2,177234,282
KOTDWARA,UTTARANCHAL,Tier 6,Tier 4,175232,197
TAMBARAM,TAMIL NADU,Tier 6,Tier 4,174787,2080
COOCHBEHAR,WEST BENGAL,Tier 6,Tier 4,174226,1784
BARRACKPORE,WEST BENGAL,Tier 6,Tier 4,174226,1659
MIDNAPORE,WEST BENGAL,Tier 6,Tier 4,174226,194
BADLAPUR,MAHARASHTRA,Tier 6,Tier 4,174226,19
ALAPUZHA,KERALA,Tier 3,Tier 3,174176,38
ALAPPUZHA,KERALA,Tier 5,Tier 4,174164,225
ALLEPPEY,KERALA,Tier 6,Tier 4,174164,58
CUDDALORE,TAMIL NADU,Tier 3,Tier 3,173636,439
KOTTAYAM,KERALA,Tier 3,Tier 2,172878,922
SOUTH WEST GARO HILLS,MEGHALAYA,Tier 6,Tier 4,172495,6
BAHADURGARH,HARYANA,Tier 6,Tier 4,170767,3359
MACHILIPATNAM,ANDHRA PRADESH,Tier 5,Tier 4,169892,290
SHIMLA,HIMACHAL PRADESH,Tier 4,Tier 2,169578,5198
BHARUCH,GUJARAT,Tier 4,Tier 4,169007,7125
HOSHIARPUR,PUNJAB,Tier 4,Tier 3,168653,2200
JIND,HARYANA,Tier 4,Tier 4,167592,1019
CHANDANNAGAR,WEST BENGAL,Tier 6,Tier 4,166867,3
ADONI,ANDHRA PRADESH,Tier 5,Tier 4,166537,129
UDUPI,KARNATAKA,Tier 4,Tier 4,165401,1039
TONK,RAJASTHAN,Tier 4,Tier 4,165294,355
KATIHAR,BIHAR,Tier 3,Tier 3,164937,284
KANCHEEPURAM,TAMIL NADU,Tier 3,Tier 3,164384,2794
SINGAMPUNERI,TAMIL NADU,Tier 6,Tier 4,164150,19
PRODDATUR,ANDHRA PRADESH,Tier 5,Tier 4,163600,626
PHEK,NAGALAND,Tier 5,Tier 4,163294,2
RAJNANDGAON,CHHATTISGARH,Tier 4,Tier 4,163114,164
NAVSARI,GUJARAT,Tier 4,Tier 4,160941,5125
BUDAUN,UTTAR PRADESH,Tier 2,Tier 2,159285,129
DALTONGANJ,JHARKHAND,Tier 6,Tier 4,158910,246
MAHBUBNAGAR,TELANGANA,Tier 2,Tier 2,158000,1020
ERODE,TAMIL NADU,Tier 3,Tier 2,157101,1056
BATALA,PUNJAB,Tier 6,Tier 4,156619,146
SAHARSA,BIHAR,Tier 3,Tier 3,156540,272
HALDWANI,UTTARANCHAL,Tier 6,Tier 3,156078,1017
PATANCHERU,TELANGANA,Tier 6,Tier 4,156078,445
HALDWANI-CUM-KATHGODAM,UTTARANCHAL,Tier 6,Tier 4,156060,49
VIDISHA,MADHYA PRADESH,Tier 4,Tier 4,155951,345
VERAVAL,GUJARAT,Tier 6,Tier 4,154636,349
BANDA,MADHYA PRADESH,Tier 3,Tier 3,154428,519
DIBRUGARH,ASSAM,Tier 4,Tier 4,154296,656
JORHAT,ASSAM,Tier 4,Tier 4,153889,1221
CHITTOOR,ANDHRA PRADESH,Tier 5,Tier 4,153756,1016
HAZARIBAGH,JHARKHAND,Tier 3,Tier 3,153599,1987
KRISHNANAGAR,WEST BENGAL,Tier 6,Tier 4,153062,52
KHERI,UTTAR PRADESH,Tier 2,Tier 2,152000,169
LAKHIMPUR,UTTAR PRADESH,Tier 4,Tier 4,151993,284
HINDUPUR,ANDHRA PRADESH,Tier 5,Tier 4,151835,224
PORBANDAR,GUJARAT,Tier 4,Tier 4,151770,3085
BALURGHAT,WEST BENGAL,Tier 6,Tier 4,151416,87
MOGA,PUNJAB,Tier 4,Tier 4,150411,583
MEDINIPUR,WEST BENGAL,Tier 1,Tier 4,149769,766
PATHANKOT,PUNJAB,Tier 6,Tier 4,148937,851
NAGAON,ASSAM,Tier 3,Tier 3,148496,804
CHANGLANG,ARUNACHAL PRADESH,Tier 5,Tier 4,148226,9
HAJIPUR,PUNJAB,Tier 5,Tier 4,147688,1458
HAJIRPUR,UTTAR PRADESH,Tier 6,Tier 4,147688,2
BARABANKI,UTTAR PRADESH,Tier 3,Tier 3,147550,582
LEH,LADAKH,Tier 6,Tier 4,147104,#N/A
SOUTH SIKKIM,SIKKIM,Tier 6,Tier 4,146742,33
MOHALI,PUNJAB,Tier 6,Tier 3,146213,2146
BEAWAR,RAJASTHAN,Tier 6,Tier 4,145504,133
ABOHAR,PUNJAB,Tier 6,Tier 4,145302,63
TIRUVANNAMALAI,TAMIL NADU,Tier 6,Tier 2,145278,501
KAITHAL,HARYANA,Tier 4,Tier 4,144915,1299
MALLAPALLY,#N/A,Tier 6,Tier 4,143677,60
GODHRA,GUJARAT,Tier 6,Tier 4,143644,2943
GIRIDIH,JHARKHAND,Tier 3,Tier 3,143529,570
KARGIL,LADAKH,Tier 5,Tier 4,143388,166
BHUJ,GUJARAT,Tier 6,Tier 4,143286,12404
SHILLONG,MEGHALAYA,Tier 6,Tier 4,143229,2489
REWARI,HARYANA,Tier 4,Tier 4,143021,3576
SOUTH GARO HILLS,MEGHALAYA,Tier 5,Tier 4,142574,23
BHIMAVARAM,ANDHRA PRADESH,Tier 6,Tier 4,142280,538
BHEEMAVARAM,ANDHRA PRADESH,Tier 5,Tier 4,142000,11
MANDSAUR,MADHYA PRADESH,Tier 4,Tier 4,141667,354
CHITRADURGA,KARNATAKA,Tier 3,Tier 3,140206,393
NARAYANPUR,CHHATTISGARH,Tier 6,Tier 4,140206,1
KUMBAKONAM,TAMIL NADU,Tier 5,Tier 4,140056,160
BONGAIGAON,ASSAM,Tier 4,Tier 4,139650,247
KOLAR,KARNATAKA,Tier 3,Tier 3,138462,743
CHHINDWARA,MADHYA PRADESH,Tier 3,Tier 3,138291,968
BANKURA,WEST BENGAL,Tier 2,Tier 2,137386,927
MANDYA,KARNATAKA,Tier 3,Tier 3,137358,488
DEHRI,BIHAR,Tier 5,Tier 4,137231,51
RAIGARH,CHHATTISGARH,Tier 4,Tier 4,137126,529
WEST SIKKIM,SIKKIM,Tier 6,Tier 4,136299,15
NALGONDA,TELANGANA,Tier 2,Tier 2,135744,1389
MADANAPALLE,ANDHRA PRADESH,Tier 5,Tier 4,135669,179
HATHRAS,UTTAR PRADESH,Tier 4,Tier 4,135594,684
MALERKOTLA,PUNJAB,Tier 6,Tier 4,135424,26
SIWAN,BIHAR,Tier 3,Tier 3,135066,729
HASSAN,KARNATAKA,Tier 3,Tier 3,133436,865
LALITPUR,UTTAR PRADESH,Tier 4,Tier 4,133305,199
GONDIYA,MAHARASHTRA,Tier 4,Tier 4,132813,184
RAMGARH,JHARKHAND,Tier 5,Tier 4,132441,57
BETTIAH,BIHAR,Tier 5,Tier 4,132209,530
PALAKKAD,KERALA,Tier 3,Tier 2,130955,448
PALGHAT,KERALA,Tier 6,Tier 4,130955,20
RAJAPALAYAM,TAMIL NADU,Tier 6,Tier 4,130442,9
BOTAD,GUJARAT,Tier 6,Tier 4,130327,281
MODINAGAR,UTTAR PRADESH,Tier 6,Tier 4,130325,5
DEORIA,UTTAR PRADESH,Tier 3,Tier 3,129479,1346
RANIGANJ,WEST BENGAL,Tier 6,Tier 4,129441,5
PALWAL,HARYANA,Tier 6,Tier 4,128730,5757
KHANNA,PUNJAB,Tier 6,Tier 4,128137,53
NEEMUCH,MADHYA PRADESH,Tier 4,Tier 4,128095,269
PILIBHIT,UTTAR PRADESH,Tier 3,Tier 3,127988,140
BHADRA,RAJASTHAN,Tier 4,Tier 4,127000,2
HARDOI,UTTAR PRADESH,Tier 2,Tier 2,126851,583
TINSUKIA,ASSAM,Tier 4,Tier 4,126389,336
MOTIHARI,BIHAR,Tier 5,Tier 4,126158,1152
DHAULPUR,RAJASTHAN,Tier 4,Tier 4,125989,5
SRIKAKULAM,ANDHRA PRADESH,Tier 3,Tier 3,125939,621
PATAN,MADHYA PRADESH,Tier 4,Tier 4,125497,4279
JAGDALPUR,CHHATTISGARH,Tier 6,Tier 4,125463,142
CHAMPHAI,MIZORAM,Tier 5,Tier 4,125370,12
BASIRHAT,WEST BENGAL,Tier 6,Tier 4,125254,2
DAMOH,MADHYA PRADESH,Tier 4,Tier 4,125101,288
JAGADHRI,HARYANA,Tier 6,Tier 4,124894,579
JANGIPUR,WEST BENGAL,Tier 6,Tier 4,122875,285
DIMAPUR,NAGALAND,Tier 5,Tier 4,122834,174
EAST JAINTIA HILLS,MEGHALAYA,Tier 6,Tier 4,122436,6
PALANPUR,GUJARAT,Tier 6,Tier 4,122344,3565
DHARMAVARAM,ANDHRA PRADESH,Tier 5,Tier 4,121874,3
KASHIPUR,UTTAR PRADESH,Tier 6,Tier 4,121623,384
SAWAI MADHOPUR,RAJASTHAN,Tier 4,Tier 4,121106,294
PURULIYA,WEST BENGAL,Tier 3,Tier 2,121067,579
MAINPURI,UTTAR PRADESH,Tier 3,Tier 3,120400,636
KANCHRAPARA,WEST BENGAL,Tier 6,Tier 4,120345,1
SUNDERNAGAR,HIMACHAL PRADESH,Tier 6,Tier 4,120000,186
JOGINDARNAGAR,HIMACHAL PRADESH,Tier 6,Tier 4,120000,41
CHURU,RAJASTHAN,Tier 3,Tier 3,119856,700
DARJILING,WEST BENGAL,Tier 3,Tier 3,118805,260
ETAH,UTTAR PRADESH,Tier 3,Tier 3,118517,408
CHIKMAGALUR,KARNATAKA,Tier 4,Tier 4,118401,585
NORTH GARO HILLS,MEGHALAYA,Tier 6,Tier 4,118325,12
ROORKEE,UTTARANCHAL,Tier 6,Tier 3,118200,1227
GUDIVADA,ANDHRA PRADESH,Tier 5,Tier 4,118167,331
BARAN,RAJASTHAN,Tier 4,Tier 4,117992,114
HOSHANGABAD,MADHYA PRADESH,Tier 4,Tier 4,117988,219
PHAGWARA,PUNJAB,Tier 5,Tier 4,117966,125
PUDUKKOTTAI,TAMIL NADU,Tier 4,Tier 4,117745,292
LAWNGTLAI,MIZORAM,Tier 5,Tier 4,117444,4
ADILABAD,TELANGANA,Tier 3,Tier 3,117167,441
HOSUR,TAMIL NADU,Tier 5,Tier 3,116821,1703
YAVATMAL,MAHARASHTRA,Tier 3,Tier 3,116551,4060
BARNALA,PUNJAB,Tier 6,Tier 4,116449,303
CHITTAURGARH,RAJASTHAN,Tier 3,Tier 3,116406,139
DELHI CANTT DC,#N/A,Tier 1,Tier 1,116352,1925
NARASARAOPET,ANDHRA PRADESH,Tier 5,Tier 4,116250,349
SURYAPET,TELANGANA,Tier 5,Tier 4,115250,149
BIJNOR,UTTAR PRADESH,Tier 2,Tier 2,115000,873
BASTI,UTTAR PRADESH,Tier 3,Tier 3,114657,991
VALSAD,GUJARAT,Tier 4,Tier 4,114636,9450
KOTHAMANGALAM,KERALA,Tier 6,Tier 4,114574,94
GONDA,UTTAR PRADESH,Tier 3,Tier 3,114046,1487
JAWALI,#N/A,Tier 6,Tier 4,112746,98
AMBIKAPUR,CHHATTISGARH,Tier 6,Tier 4,112449,1172
WEST SIANG,ARUNACHAL PRADESH,Tier 5,Tier 4,112274,9
GONDAL,GUJARAT,Tier 6,Tier 4,112197,20
TIRAP,ARUNACHAL PRADESH,Tier 5,Tier 4,111975,3
BAGALKOT,KARNATAKA,Tier 3,Tier 3,111933,723
OSMANABAD,MAHARASHTRA,Tier 4,Tier 4,111825,943
AKBARPUR,UTTAR PRADESH,Tier 6,Tier 4,111447,30
DEESA,GUJARAT,Tier 6,Tier 4,111160,42
NANDURBAR,MAHARASHTRA,Tier 4,Tier 4,111037,1348
AZAMGARH,UTTAR PRADESH,Tier 2,Tier 2,110983,1470
GHAZIPUR,UTTAR PRADESH,Tier 2,Tier 2,110587,890
FEROZEPUR,PUNJAB,Tier 6,Tier 4,110313,301
FEROZPUR,PUNJAB,Tier 6,Tier 4,110313,164
BABA BAKALA,PUNJAB,Tier 6,Tier 4,110313,12
SOUTH WEST KHASI HILLS,MEGHALAYA,Tier 6,Tier 4,110152,5
MIRYALGUDA,ANDHRA PRADESH,Tier 6,Tier 4,110000,245
BARIPADA,ORISSA,Tier 6,Tier 4,109743,61
